RowNumber,CustomerId,Surname,Geography,Gender,Age,Tenure,NumOfProducts,IsActiveMember,Contract Online,Internet Activity Score,Having Vollkasko,Kasco Changed Score,Exited
1808,15605037,Ting,France,Female,49,2,1,1,1,2,0,1,1
1809,15576085,Stone,France,Male,41,5,2,0,0,4,1,0,0
1810,15770435,McLean,France,Female,50,6,2,1,0,5,1,0,0
1811,15592994,Zikoranachidimma,France,Female,65,0,2,1,0,4,1,0,0
1812,15624068,Fu,France,Female,26,0,2,1,0,4,1,0,0
1813,15595221,Trevisano,Germany,Female,33,7,1,0,0,5,1,0,0
1814,15637131,Fallaci,France,Male,38,9,2,0,0,5,1,0,0
1815,15613471,Wiley,Germany,Male,31,2,2,1,0,5,1,0,0
1816,15583499,Chiagoziem,France,Male,32,9,1,1,0,4,1,0,0
1817,15752816,Murray,France,Male,29,3,1,0,0,4,1,0,0
1818,15804075,Chuang,Germany,Female,36,3,1,0,0,4,1,0,0
1819,15800517,Huang,Spain,Male,32,5,2,1,0,5,1,0,0
1820,15712319,Chukwukere,Spain,Male,45,8,2,1,0,5,1,0,0
1821,15797389,Hsia,Spain,Male,23,9,1,1,0,5,1,0,0
1822,15621432,Lee,Spain,Male,35,1,2,0,0,4,1,0,0
1823,15779390,Theus,Spain,Female,31,4,1,1,0,5,1,0,0
1824,15711219,Jennings,Germany,Female,57,8,1,1,1,0,0,1,1
1825,15770498,Parker,France,Female,37,4,1,1,0,5,1,0,0
1826,15678727,Tan,Germany,Male,45,4,1,0,0,3,0,2,1
1827,15573893,Barry,Germany,Male,25,9,2,1,0,4,1,0,0
1828,15740104,Tuan,Spain,Female,22,7,2,1,1,3,0,1,1
1829,15792649,Patterson,Spain,Female,31,9,2,0,0,5,1,0,0
1830,15605275,Ofodile,Germany,Male,45,8,1,0,0,3,0,2,1
1831,15572467,Chandler,France,Male,37,5,2,1,0,4,1,0,0
1832,15738219,Nash,France,Female,36,7,2,1,0,5,1,0,0
1833,15600710,Atkinson,France,Male,22,0,1,0,0,5,1,0,0
1834,15804394,Brenan,Germany,Male,32,8,1,0,1,3,0,2,1
1835,15694188,Obidimkpa,Spain,Female,46,5,2,1,0,4,1,0,0
1836,15583718,Terry,Germany,Male,38,6,1,1,0,5,1,0,0
1837,15802478,Spring,Spain,Male,31,6,2,1,0,4,1,0,0
1838,15619343,Mahmood,France,Male,56,7,2,0,0,1,0,2,1
1839,15758813,Campbell,Germany,Male,39,0,2,0,1,3,0,2,1
1840,15761374,Bellucci,France,Male,54,9,1,1,0,4,1,0,0
1841,15569209,Amaechi,Spain,Female,34,5,1,1,0,5,1,0,0
1842,15788539,Foxall,France,Female,34,3,1,0,0,4,1,0,0
1843,15747222,Bentley,Spain,Female,35,8,2,1,0,5,1,0,0
1844,15769346,Baird,France,Female,36,1,2,0,0,4,1,0,0
1845,15699634,Howard,France,Female,48,2,2,1,0,4,1,0,0
1846,15589076,Henry,France,Male,36,9,1,1,1,2,0,2,1
1847,15812338,Sopuluchukwu,Spain,Female,30,7,1,0,0,4,1,0,0
1848,15758845,Rocher,Spain,Female,37,0,1,1,1,3,0,1,1
1849,15685844,White,Germany,Female,35,8,1,1,0,4,1,0,0
1850,15583090,Komar,Spain,Female,29,8,2,0,0,4,1,0,0
1851,15587581,Russo,Germany,Female,33,5,2,1,0,4,1,0,0
1852,15633640,Loewenthal,France,Female,52,4,1,1,0,4,1,0,0
1853,15573741,Aliyeva,Spain,Male,38,10,1,1,0,5,1,0,0
1854,15633574,Montes,France,Female,41,4,1,0,0,5,1,0,0
1855,15711455,Kuo,Germany,Female,36,4,1,0,1,2,0,1,1
1856,15570601,Cheng,France,Female,47,9,1,1,0,1,0,2,1
1857,15690925,McIntosh,Spain,Female,29,2,1,0,1,0,0,1,1
1858,15709338,T'ao,France,Female,29,1,1,1,0,4,1,0,0
1859,15780746,Tyndall,France,Male,61,4,2,1,0,5,1,0,0
1860,15681956,Bailey,France,Male,34,9,2,1,0,5,1,0,0
1861,15778190,Onyekaozulu,Spain,Female,28,8,1,1,0,5,1,0,0
1862,15786852,Nwachukwu,Germany,Female,38,2,2,1,0,5,1,0,0
1863,15726494,Romani,France,Male,44,9,1,0,0,3,0,2,1
1864,15641183,Chin,Spain,Male,25,8,1,0,0,4,1,0,0
1865,15805312,Bellucci,France,Male,45,7,1,1,0,5,1,0,0
1866,15636572,Christmas,France,Female,32,7,2,1,0,4,1,0,0
1867,15632575,Moore,France,Female,70,9,1,1,0,4,1,0,0
1868,15740164,Genovesi,France,Female,33,3,1,1,0,5,1,0,0
1869,15574947,Cartwright,France,Male,36,8,2,1,0,5,1,0,0
1870,15597909,Johnstone,Germany,Male,33,7,1,0,0,4,1,0,0
1871,15782574,Warner,Spain,Male,33,6,2,0,0,5,1,0,0
1872,15734999,Stephenson,Spain,Male,36,2,1,0,0,4,1,0,0
1873,15706593,Ellis,Spain,Female,50,10,2,1,0,4,1,0,0
1874,15766686,Nebechi,Germany,Female,39,1,1,0,0,5,1,0,0
1875,15590268,Chu,Spain,Male,35,5,1,1,0,5,1,0,0
1876,15763055,Onuchukwu,Spain,Male,31,5,1,1,0,5,1,0,0
1877,15664754,Steele,Germany,Male,39,9,4,1,0,1,0,2,1
1878,15643630,Quaife,Spain,Male,55,9,2,0,1,0,0,1,1
1879,15641043,Scott,Spain,Male,35,7,2,1,0,5,1,0,0
1880,15768095,Yeh,France,Male,31,9,1,1,0,5,1,0,0
1881,15811314,Y?,Germany,Female,36,9,2,0,0,5,1,0,0
1882,15669922,Conti,Spain,Female,36,2,2,1,0,5,1,0,0
1883,15707114,Holder,France,Male,30,2,2,1,0,5,1,0,0
1884,15670602,Burgess,Germany,Male,24,7,1,1,0,4,1,0,0
1885,15713479,Ozuluonye,France,Male,35,6,2,0,0,5,1,0,0
1886,15663830,De Luca,Spain,Male,32,6,2,1,0,4,1,0,0
1887,15566958,Li Fonti,Spain,Male,39,7,1,1,0,4,1,0,0
1888,15680918,Freeman,Spain,Male,34,8,1,0,0,4,1,0,0
1889,15663921,Pisani,France,Male,60,7,2,1,0,4,1,0,0
1890,15716324,Ignatieff,France,Female,23,9,1,1,0,4,1,0,0
1891,15796969,Lahti,France,Male,33,4,2,1,0,5,1,0,0
1892,15574783,Perkins,France,Female,37,1,2,1,0,4,1,0,0
1893,15773487,Conway,Germany,Female,31,8,1,0,0,4,1,0,0
1894,15802486,Hayes,France,Male,34,3,2,1,0,5,1,0,0
1895,15783398,Rizzo,Spain,Female,49,7,1,0,0,4,1,0,0
1896,15649418,Krylov,France,Female,29,7,2,1,0,5,1,0,0
1897,15604588,Li Fonti,Spain,Female,38,3,2,1,0,4,1,0,0
1898,15735428,Talbot,Spain,Female,37,0,2,0,0,5,1,0,0
1899,15629078,Matthias,Germany,Female,45,5,1,1,1,3,0,2,1
1900,15806880,Boyle,Spain,Female,30,6,1,1,0,5,1,0,0
1901,15754999,Ch'eng,France,Female,33,8,1,1,0,4,1,0,0
1902,15781034,Mason,Spain,Male,67,5,2,1,0,5,1,0,0
1903,15622017,Bruno,Spain,Female,33,10,1,1,0,5,1,0,0
1904,15705885,Smeaton,Spain,Male,36,2,2,1,0,4,1,0,0
1905,15677382,Miller,Spain,Female,69,1,1,1,0,4,1,0,0
1906,15566843,Gotch,Germany,Male,20,9,1,1,0,4,1,0,0
1907,15608387,Fu,France,Female,29,4,2,0,0,5,1,0,0
1908,15810786,O'Toole,France,Female,67,3,2,1,0,4,1,0,0
1909,15626983,Ledford,Spain,Female,48,6,2,1,0,4,1,0,0
1910,15773605,Iadanza,Spain,Female,32,3,2,0,0,5,1,0,0
1911,15811261,Alaniz,Spain,Male,42,0,1,1,0,5,1,0,0
1912,15590606,Saunders,France,Male,41,9,2,0,0,4,1,0,0
1913,15576644,Lin,Germany,Female,29,4,1,0,1,2,0,2,1
1914,15750264,Pinto,Germany,Male,30,6,2,1,0,5,1,0,0
1915,15741554,Streeter,Spain,Male,31,2,1,1,0,4,1,0,0
1916,15769051,Shaw,Spain,Male,25,7,1,1,0,4,1,0,0
1917,15812198,Chen,Germany,Male,48,1,1,0,0,1,0,2,1
1918,15699772,Barclay,Germany,Female,40,3,2,0,0,2,0,1,1
1919,15744105,Kodilinyechukwu,France,Female,28,3,2,1,0,5,1,0,0
1920,15739858,Otitodilichukwu,France,Male,56,7,1,1,0,2,0,2,1
1921,15723720,McKenzie,France,Female,31,7,2,1,0,4,1,0,0
1922,15638355,Woods,France,Female,35,5,1,0,0,2,0,1,1
1923,15805637,Hsing,France,Male,36,9,3,0,1,1,0,2,1
1924,15629575,Wheare,France,Male,36,2,1,0,1,2,0,1,1
1925,15586243,Yobachi,France,Male,44,8,1,1,0,4,1,0,0
1926,15757931,Fang,France,Male,24,3,2,0,0,4,1,0,0
1927,15716023,Pearson,France,Male,31,1,2,1,0,4,1,0,0
1928,15647782,Brown,Germany,Male,36,8,2,0,0,5,1,0,0
1929,15716609,L?,Germany,Male,54,3,1,0,0,1,0,1,1
1930,15623791,Padovesi,Spain,Female,40,3,1,0,0,4,1,0,0
1931,15627262,Soto,Germany,Male,23,6,2,0,0,4,1,0,0
1932,15652693,Greco,France,Female,26,4,1,0,1,2,0,2,1
1933,15586993,Giordano,Spain,Female,56,5,2,1,0,5,1,0,0
1934,15815560,Bogle,Germany,Male,74,7,1,1,0,5,1,0,0
1935,15584930,Grimmett,Germany,Male,30,5,2,0,0,5,1,0,0
1936,15799031,Ayers,France,Male,39,3,2,0,0,4,1,0,0
1937,15810457,Miller,Germany,Female,33,9,2,0,0,4,1,0,0
1938,15697879,Webb,France,Male,30,3,2,0,0,5,1,0,0
1939,15594902,Lombardi,France,Male,38,3,1,1,0,4,1,0,0
1940,15799710,Wei,France,Male,37,7,1,1,0,5,1,0,0
1941,15659651,Ross,Germany,Female,31,7,1,0,0,0,0,2,1
1942,15645956,Jideofor,Spain,Male,44,3,1,0,0,5,1,0,0
1943,15651713,King,France,Male,45,6,1,0,0,4,1,0,0
1944,15737265,Nwokeocha,Germany,Male,39,6,1,0,0,4,1,0,0
1945,15687310,Humphries,Spain,Male,39,9,2,0,0,5,1,0,0
1946,15607347,Olisaemeka,France,Male,22,5,1,0,1,0,0,1,1
1947,15698321,Yobanna,Germany,Male,34,3,2,1,0,4,1,0,0
1948,15657812,Ch'iu,France,Male,52,1,2,1,0,4,1,0,0
1949,15569187,Fleming,Spain,Male,35,9,2,0,0,4,1,0,0
1950,15681562,Trevisan,France,Female,43,2,2,1,0,5,1,0,0
1951,15615456,Aleksandrova,France,Female,37,10,1,0,1,1,0,2,1
1952,15589793,Onwuamaeze,France,Male,53,8,1,0,0,2,0,2,1
1953,15781884,Knox,Germany,Male,27,9,2,1,0,5,1,0,0
1954,15675190,Chia,France,Male,21,10,2,1,0,5,1,0,0
1955,15600734,Townsend,Spain,Male,51,5,2,1,0,4,1,0,0
1956,15779176,Dike,Germany,Female,58,3,3,1,1,0,0,2,1
1957,15605286,Moyes,France,Male,55,4,2,1,1,3,0,2,1
1958,15674922,Beavers,France,Male,54,6,1,1,1,0,0,1,1
1959,15737506,Tretiakova,France,Male,42,6,1,0,0,4,1,0,0
1960,15780514,Fuller,France,Male,33,8,1,0,0,4,1,0,0
1961,15623647,Dellucci,Spain,Female,36,1,1,0,0,4,1,0,0
1962,15668472,Ritchie,Spain,Female,24,5,2,0,0,4,1,0,0
1963,15692416,Aikenhead,Spain,Female,52,8,3,0,0,2,0,2,1
1964,15771139,Douglas,Germany,Male,34,8,2,0,0,5,1,0,0
1965,15738318,Kung,France,Female,40,5,1,0,1,1,0,1,1
1966,15772243,MacDonald,France,Female,33,9,1,0,0,0,0,1,1
1967,15638463,Okwudilichukwu,Germany,Female,48,8,1,1,0,4,1,0,0
1968,15598088,Ni,Spain,Male,25,5,2,1,0,4,1,0,0
1969,15693468,Simmons,Spain,Female,39,9,1,0,0,4,1,0,0
1970,15671930,H?,France,Female,36,5,2,1,0,4,1,0,0
1971,15762268,Hancock,France,Female,41,10,1,0,0,4,1,0,0
1972,15780954,Cran,Spain,Male,26,4,2,0,0,5,1,0,0
1973,15700174,McKay,Spain,Female,30,0,1,0,0,5,1,0,0
1974,15635728,P'an,France,Male,41,4,2,0,0,4,1,0,0
1975,15679283,Parkhill,France,Female,33,4,2,0,0,4,1,0,0
1976,15591386,Golubova,France,Female,35,5,2,0,0,5,1,0,0
1977,15694192,Nwankwo,Spain,Female,38,6,2,0,0,5,1,0,0
1978,15585901,Johnson,Spain,Male,35,1,3,0,0,2,0,1,1
1979,15792329,Mao,Germany,Male,37,5,2,0,0,4,1,0,0
1980,15635597,Echezonachukwu,France,Male,33,8,2,1,0,4,1,0,0
1981,15775880,McElyea,France,Female,30,9,2,1,0,4,1,0,0
1982,15630913,Rosas,Spain,Female,69,1,1,1,0,5,1,0,0
1983,15756680,Phillips,France,Male,28,6,1,0,0,5,1,0,0
1984,15587913,Palerma,Spain,Female,40,4,2,0,0,5,1,0,0
1985,15737605,Morris,Spain,Female,45,1,2,1,0,5,1,0,0
1986,15627876,Pavlova,Spain,Female,47,9,1,0,0,0,0,2,1
1987,15772601,Lu,Germany,Female,41,2,2,0,0,5,1,0,0
1988,15758606,Yamamoto,France,Male,54,4,1,1,1,1,0,2,1
1989,15657107,Angelo,Spain,Female,46,8,1,0,1,3,0,2,1
1990,15622454,Zaitsev,Spain,Male,28,0,1,1,0,4,1,0,0
1991,15775803,Cawker,Spain,Male,41,1,2,1,0,4,1,0,0
1992,15570859,Froggatt,Germany,Male,36,2,2,1,0,4,1,0,0
1993,15748381,Gorbunov,France,Female,29,6,2,1,0,4,1,0,0
1994,15787189,Tai,Germany,Male,60,8,3,0,0,3,0,2,1
1995,15666055,Rowe,France,Female,49,7,1,0,0,0,0,1,1
1996,15617648,Mikkelsen,France,Female,44,5,2,1,0,4,1,0,0
1997,15755678,Kovalyov,France,Male,62,2,2,0,1,1,0,1,1
1998,15624781,Mbanefo,France,Female,34,1,2,1,0,5,1,0,0
1999,15779497,Ts'ai,France,Male,43,5,1,1,0,5,1,0,0
2000,15567399,Enderby,Germany,Male,43,3,1,1,0,4,1,0,0
2001,15613656,Lombardi,France,Male,58,1,1,1,0,5,1,0,0
2002,15734311,Hamilton,France,Female,27,3,2,1,0,5,1,0,0
2003,15657214,Hsia,France,Male,74,2,2,1,0,4,1,0,0
2004,15799350,Mao,France,Male,41,0,1,1,0,4,1,0,0
2005,15729970,Ugochukwu,Germany,Male,29,8,1,1,0,4,1,0,0
2006,15725835,West,Germany,Female,32,3,2,1,0,0,0,2,1
2007,15745543,Hughes,France,Male,39,7,2,0,0,4,1,0,0
2008,15727384,Chukwuemeka,Germany,Female,43,10,1,1,1,3,0,1,1
2009,15666916,Lira,France,Male,43,6,2,0,0,5,1,0,0
2010,15732917,Li,Germany,Male,46,5,1,0,0,1,0,2,1
2011,15612050,Castiglione,Spain,Female,48,8,1,1,0,5,1,0,0
2012,15726267,Paterson,France,Male,32,9,2,1,0,4,1,0,0
2013,15780124,Blair,France,Male,74,9,1,1,0,5,1,0,0
2014,15742238,Dellucci,Germany,Male,35,4,2,0,0,5,1,0,0
2015,15679024,Udinesi,France,Male,32,3,1,0,0,5,1,0,0
2016,15715297,Yuan,Germany,Female,40,2,1,1,0,5,1,0,0
2017,15633612,Yuryeva,France,Male,28,4,1,1,0,5,1,0,0
2018,15602929,Wilson,Spain,Female,37,4,1,0,0,4,1,0,0
2019,15696703,Dean,Germany,Male,27,3,2,0,0,5,1,0,0
2020,15756668,Ross,France,Male,30,3,1,1,0,5,1,0,0
2021,15565779,Kent,Germany,Female,30,6,1,0,0,5,1,0,0
2022,15795519,Vasiliev,Germany,Female,18,3,1,0,0,4,1,0,0
2023,15761477,Golibe,Germany,Male,24,4,2,0,0,5,1,0,0
2024,15731890,Chukwukere,France,Male,41,1,1,1,0,5,1,0,0
2025,15633043,Fedorova,Spain,Female,39,6,1,0,1,0,0,1,1
2026,15752953,Chien,France,Male,45,9,2,0,0,4,1,0,0
2027,15603088,Rossi,Spain,Female,23,9,2,1,0,5,1,0,0
2028,15606613,Samson,France,Female,59,7,1,0,0,0,0,1,1
2029,15635939,Fenton,France,Female,39,9,2,0,0,5,1,0,0
2030,15666043,Mackey,France,Male,33,4,2,1,0,4,1,0,0
2031,15746190,Payton,Spain,Female,28,2,2,1,0,5,1,0,0
2032,15591357,Cowger,France,Male,51,3,1,1,0,5,1,0,0
2033,15658716,Banks,Germany,Female,37,5,3,0,0,1,0,1,1
2034,15679909,Pugliesi,Spain,Male,41,8,2,0,0,5,1,0,0
2035,15634262,Fantin,Germany,Male,34,4,2,1,0,5,1,0,0
2036,15799825,Bentley,France,Female,44,8,2,1,0,4,1,0,0
2037,15756875,Freeman,Spain,Male,34,6,1,1,0,4,1,0,0
2038,15678146,Wong,Spain,Female,24,7,1,0,1,1,0,1,1
2039,15710743,Onwuamaeze,France,Male,47,0,1,1,1,3,0,1,1
2040,15595831,Shen,Germany,Female,64,6,1,1,0,5,1,0,0
2041,15626684,Huang,France,Female,38,5,1,1,0,4,1,0,0
2042,15709846,Yeh,France,Female,39,1,1,0,0,5,1,0,0
2043,15635459,Shih,Germany,Female,27,3,2,0,0,5,1,0,0
2044,15642544,Henderson,France,Male,34,5,2,1,0,4,1,0,0
2045,15566494,Fang,France,Male,45,2,2,0,0,4,1,0,0
2046,15655238,Dellucci,France,Female,31,9,2,0,0,5,1,0,0
2047,15733429,Chou,Germany,Male,34,8,2,1,0,4,1,0,0
2048,15814536,Conti,France,Male,37,2,2,0,0,4,1,0,0
2049,15771702,Roberts,France,Female,35,5,2,0,0,4,1,0,0
2050,15723008,Lo Duca,France,Female,45,1,2,1,0,1,0,2,1
2051,15797160,Glover,France,Female,49,8,1,1,0,0,0,2,1
2052,15792222,Johnstone,France,Female,37,1,2,0,0,5,1,0,0
2053,15644765,Ashton,Germany,Male,26,4,1,1,0,4,1,0,0
2054,15610686,Melton,France,Male,63,8,1,0,1,0,0,1,1
2055,15730868,Marshall,France,Male,41,5,2,1,0,4,1,0,0
2056,15705991,Kenenna,Germany,Male,38,9,1,0,0,5,1,0,0
2057,15577078,Zakharov,Spain,Male,38,6,1,1,0,2,0,2,1
2058,15679550,Chukwualuka,France,Male,32,9,2,0,0,5,1,0,0
2059,15787655,Chu,France,Male,47,3,2,0,0,5,1,0,0
2060,15668081,Capon,Spain,Female,50,4,2,1,0,4,1,0,0
2061,15747980,Cattaneo,Spain,Male,38,6,2,0,0,4,1,0,0
2062,15710295,Patrick,Germany,Female,38,6,2,0,0,4,1,0,0
2063,15724443,Taylor,Germany,Female,29,3,1,1,0,4,1,0,0
2064,15571305,Stephenson,Germany,Female,35,1,1,0,1,0,0,1,1
2065,15569503,Yeh,France,Male,44,6,2,1,0,5,1,0,0
2066,15581840,DeRose,France,Male,33,8,2,0,0,5,1,0,0
2067,15772262,Vavilov,Germany,Male,37,9,1,1,0,4,1,0,0
2068,15767794,Browne,France,Male,31,9,1,1,0,5,1,0,0
2069,15629338,Collingridge de Tourcey,Spain,Female,31,2,1,0,0,1,0,2,1
2070,15790379,Rowe,Germany,Male,28,8,1,1,0,5,1,0,0
2071,15750684,Jibunoh,France,Female,42,4,1,0,1,3,0,2,1
2072,15697214,Korovin,Spain,Female,36,5,2,1,0,5,1,0,0
2073,15711015,Hammonds,France,Male,36,4,2,1,0,4,1,0,0
2074,15573309,Ward,Spain,Female,48,2,2,1,0,4,1,0,0
2075,15805303,Olisanugo,Germany,Male,44,1,1,0,0,2,0,2,1
2076,15741385,Gallop,Germany,Male,45,9,1,1,0,5,1,0,0
2077,15780254,Gartrell,France,Male,40,6,1,0,0,2,0,1,1
2078,15744843,K'ung,Spain,Female,34,6,1,0,0,4,1,0,0
2079,15815626,Oluchi,France,Male,63,2,2,1,1,1,0,1,1
2080,15784736,Jamieson,France,Male,45,6,1,0,0,5,1,0,0
2081,15813412,Barlow,France,Female,55,3,1,0,1,1,0,1,1
2082,15809143,White,Germany,Male,32,9,1,1,0,4,1,0,0
2083,15617617,Stewart,Spain,Male,39,7,2,1,0,4,1,0,0
2084,15779738,Buccho,France,Male,24,1,1,1,0,4,1,0,0
2085,15668669,Benson,France,Female,36,5,1,0,1,2,0,2,1
2086,15687477,Thompson,Germany,Male,28,5,1,0,0,5,1,0,0
2087,15578908,Todd,Spain,Female,32,0,2,1,0,4,1,0,0
2088,15687658,Burgin,France,Female,52,7,2,0,0,0,0,2,1
2089,15615020,Nnaife,Germany,Female,41,9,2,1,0,5,1,0,0
2090,15608886,Okwudiliolisa,France,Female,33,1,2,0,0,4,1,0,0
2091,15602551,Johnson,Spain,Male,39,9,2,0,0,4,1,0,0
2092,15672945,Parkes,France,Female,37,5,1,0,0,5,1,0,0
2093,15757408,Lo,Spain,Male,38,3,3,1,1,3,0,2,1
2094,15806132,Martin,France,Male,55,4,1,1,0,5,1,0,0
2095,15813022,Kapustina,Spain,Male,70,1,2,0,0,4,1,0,0
2096,15673578,Page,Germany,Female,40,7,2,0,0,5,1,0,0
2097,15757916,Amaechi,France,Female,38,9,2,1,0,5,1,0,0
2098,15689168,Munro,Spain,Male,37,1,2,1,0,4,1,0,0
2099,15769216,Panicucci,France,Female,43,2,1,0,0,1,0,1,1
2100,15593295,Greathouse,France,Male,57,6,1,1,0,5,1,0,0
2101,15804814,Ts'ui,France,Male,40,4,2,0,0,4,1,0,0
2102,15778934,Napolitani,Spain,Female,49,8,2,1,0,5,1,0,0
2103,15802351,Beers,Germany,Female,33,6,2,1,0,4,1,0,0
2104,15630241,Tretyakova,France,Male,61,3,1,1,0,5,1,0,0
2105,15719561,Lin,France,Male,42,5,3,0,0,4,1,0,0
2106,15615096,Costa,France,Female,31,7,2,1,0,5,1,0,0
2107,15659931,Ibezimako,Germany,Female,55,1,1,0,1,3,0,1,1
2108,15714586,Marcelo,Spain,Female,42,3,1,1,0,5,1,0,0
2109,15634949,Hay,Germany,Male,74,5,2,1,0,5,1,0,0
2110,15589224,Moore,Spain,Male,41,5,2,1,0,5,1,0,0
2111,15795990,Lumholtz,Germany,Female,48,10,1,1,1,0,0,1,1
2112,15603216,Simpson,France,Male,25,7,2,0,0,4,1,0,0
2113,15631201,Hill,Spain,Female,28,4,2,0,0,4,1,0,0
2114,15686255,Mouzon,Germany,Male,35,6,1,0,0,4,1,0,0
2115,15746594,Wu,Spain,Male,33,8,1,0,0,5,1,0,0
2116,15718893,Pirozzi,Germany,Female,54,4,1,0,0,3,0,2,1
2117,15671609,Ibeabuchi,France,Male,44,7,2,0,0,4,1,0,0
2118,15652540,Garnsey,France,Male,31,2,2,1,0,5,1,0,0
2119,15774857,Synnot,France,Female,27,7,2,0,1,3,0,2,1
2120,15791836,Wildman,France,Male,29,5,2,0,0,4,1,0,0
2121,15651554,Anenechukwu,Germany,Female,54,4,1,1,1,0,0,1,1
2122,15583576,Tai,France,Male,30,2,1,1,0,4,1,0,0
2123,15732740,Plant,Spain,Female,32,9,1,0,0,5,1,0,0
2124,15723320,Azubuike,Germany,Female,25,2,2,0,0,5,1,0,0
2125,15603851,Galkin,France,Male,32,7,4,0,0,1,0,2,1
2126,15777923,Johnston,France,Female,45,6,2,1,0,4,1,0,0
2127,15735719,Babbage,France,Female,40,9,2,1,0,5,1,0,0
2128,15703482,Walker,Germany,Male,34,9,2,0,0,5,1,0,0
2129,15605835,Rice,France,Male,37,8,2,1,0,4,1,0,0
2130,15664881,Norton,France,Male,34,4,1,0,0,4,1,0,0
2131,15757568,Bogolyubov,France,Female,45,6,1,1,0,5,1,0,0
2132,15792660,Gibbons,France,Male,38,2,1,0,0,4,1,0,0
2133,15599722,Chia,Spain,Female,43,6,2,1,0,0,0,1,1
2134,15726354,Smith,France,Female,32,6,1,0,0,4,1,0,0
2135,15610355,Hunter,France,Male,44,1,1,0,0,5,1,0,0
2136,15704284,Ekechukwu,Germany,Male,57,9,1,0,1,3,0,1,1
2137,15621893,Bellucci,France,Male,18,4,1,1,0,4,1,0,0
2138,15588219,Ford,France,Female,38,1,2,0,0,5,1,0,0
2139,15688619,Scott,Spain,Male,45,3,2,1,0,4,1,0,0
2140,15765518,Gregson,France,Female,51,2,1,0,0,3,0,1,1
2141,15616931,Moore,France,Male,41,8,1,0,0,4,1,0,0
2142,15758372,Wallace,France,Male,18,7,2,1,1,3,0,1,1
2143,15782591,Cook,France,Male,35,6,1,0,0,4,1,0,0
2144,15612109,Speth,France,Male,38,9,2,1,0,4,1,0,0
2145,15613712,Boag,Spain,Male,34,1,2,0,0,4,1,0,0
2146,15639322,Grave,Spain,Male,33,4,2,0,0,4,1,0,0
2147,15594349,Streeten,France,Male,49,5,1,1,0,4,1,0,0
2148,15574167,Fox,France,Male,33,2,1,1,0,4,1,0,0
2149,15811842,Artemyeva,Spain,Male,26,7,2,1,0,4,1,0,0
2150,15648794,Giordano,Spain,Male,57,4,1,0,1,2,0,2,1
2151,15771211,Perkins,France,Male,38,10,1,1,0,4,1,0,0
2152,15588614,Walton,France,Male,57,7,1,0,1,1,0,2,1
2153,15630698,Hay,France,Female,55,9,1,1,1,3,0,1,1
2154,15694200,Gardner,France,Male,36,8,1,0,0,2,0,1,1
2155,15721426,Milne,Germany,Male,65,10,3,0,0,1,0,2,1
2156,15725997,She,France,Female,35,6,1,0,0,5,1,0,0
2157,15762138,Hu,France,Male,42,5,2,0,0,4,1,0,0
2158,15750649,Uwakwe,France,Female,44,3,2,1,0,4,1,0,0
2159,15685706,Bird,France,Female,40,7,1,1,0,5,1,0,0
2160,15641835,Anderson,France,Male,72,3,1,1,0,4,1,0,0
2161,15586821,Bellew,France,Male,28,5,2,1,0,5,1,0,0
2162,15569678,Cocci,Germany,Male,32,6,1,0,0,5,1,0,0
2163,15793842,Krichauff,France,Female,34,2,1,0,0,5,1,0,0
2164,15667554,Cameron,France,Male,35,6,2,1,0,4,1,0,0
2165,15794479,Becker,Spain,Male,77,8,1,1,0,5,1,0,0
2166,15585041,Ainsworth,France,Male,33,7,2,1,0,4,1,0,0
2167,15780650,Biryukov,France,Male,40,9,1,1,0,5,1,0,0
2168,15780846,Redding,France,Male,33,1,2,1,0,5,1,0,0
2169,15805260,Wood,Germany,Female,56,2,1,0,0,3,0,1,1
2170,15621629,Scott,Germany,Male,43,8,2,1,0,5,1,0,0
2171,15662151,Gould,France,Male,40,4,1,1,0,5,1,0,0
2172,15747174,Hao,Germany,Male,58,9,2,1,0,4,1,0,0
2173,15651585,Power,Germany,Male,35,2,1,1,0,5,1,0,0
2174,15649738,White,France,Female,46,0,2,1,0,4,1,0,0
2175,15633108,Thorpe,France,Male,26,4,1,0,0,4,1,0,0
2176,15769254,Tuan,Germany,Female,34,9,2,0,0,5,1,0,0
2177,15704746,Inman,Spain,Male,35,2,2,1,0,4,1,0,0
2178,15637644,Hanson,France,Female,24,4,2,1,0,5,1,0,0
2179,15609562,MacDonald,Spain,Female,43,1,1,0,0,4,1,0,0
2180,15787459,Parkes,Spain,Male,40,3,1,0,0,4,1,0,0
2181,15762902,Stanley,France,Female,42,7,2,1,0,5,1,0,0
2182,15738605,Fischer,Germany,Female,46,5,1,1,1,2,0,1,1
2183,15724889,Chinweuba,Spain,Male,38,9,1,1,0,4,1,0,0
2184,15730735,Henning,France,Male,38,9,2,1,0,4,1,0,0
2185,15689147,Ogochukwu,France,Female,40,1,2,0,0,4,1,0,0
2186,15730397,Narelle,Spain,Male,40,1,1,1,0,4,1,0,0
2187,15762169,Bergman,Germany,Male,37,9,2,0,0,2,0,2,1
2188,15589320,Sagese,Spain,Male,34,8,1,1,0,5,1,0,0
2189,15799211,Anenechi,Spain,Female,32,8,1,1,0,5,1,0,0
2190,15798310,Palerma,France,Male,35,2,1,1,0,4,1,0,0
